,Unnamed: 0,movieId,title,genres,tags,coviews
0,0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,pixar_adventure_animation_children_comedy_fantasy,"[19, 13, 27, 93, 54, 39, 7, 74, 53, 60]"
1,1,2,Jumanji (1995),Adventure|Children|Fantasy,adventure_children_fantasy,"[60, 1, 44, 80, 95, 34, 48, 92, 73, 49]"
2,2,3,Grumpier Old Men (1995),Comedy|Romance,comedy_romance,"[70, 74, 63, 46, 28, 17, 88, 53, 92, 18]"
3,3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,comedy_drama_romance,"[21, 68, 29, 104, 1, 70, 41, 18, 6, 46]"
4,4,5,Father of the Bride Part II (1995),Comedy,steve martin_comedy,"[72, 63, 84, 54, 88, 7, 94, 95, 53, 62]"
5,5,6,Heat (1995),Action|Crime|Thriller,action_crime_thriller,"[36, 44, 95, 45, 98, 16, 30, 73, 1, 35]"
6,6,7,Sabrina (1995),Comedy|Romance,comedy_romance,"[70, 45, 52, 38, 85, 74, 68, 71, 21, 36]"
7,7,8,Tom and Huck (1995),Adventure|Children,adventure_children,"[101, 60, 107, 13, 53, 95, 15, 96, 52, 14]"
8,8,9,Sudden Death (1995),Action,action,"[20, 89, 44, 10, 23, 15, 66, 85, 41, 83]"
9,9,10,GoldenEye (1995),Action|Adventure|Thriller,action_adventure_thriller,"[71, 61, 53, 89, 92, 20, 9, 30, 28, 85]"
10,10,11,"American President, The (1995)",Comedy|Drama|Romance,comedy_drama_romance,"[29, 25, 22, 20, 69, 107, 3, 26, 61, 73]"
11,11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,comedy_horror,"[5, 38, 104, 54, 101, 20, 63, 63, 104, 99]"
12,12,13,Balto (1995),Adventure|Animation|Children,adventure_animation_children,"[34, 8, 29, 38, 2, 54, 80, 96, 41, 57]"
13,13,14,Nixon (1995),Drama,drama,"[73, 46, 85, 27, 86, 4, 61, 42, 49, 1]"
14,14,15,Cutthroat Island (1995),Action|Adventure|Romance,action_adventure_romance,"[66, 76, 13, 71, 1, 8, 94, 60, 83, 54]"
15,15,16,Casino (1995),Crime|Drama,crime_drama,"[43, 105, 97, 49, 86, 78, 73, 4, 104, 41]"
16,16,17,Sense and Sensibility (1995),Drama|Romance,drama_romance,"[105, 57, 73, 27, 4, 92, 68, 34, 100, 1]"
17,17,18,Four Rooms (1995),Comedy,comedy,"[20, 88, 102, 1, 4, 96, 72, 9, 49, 107]"
18,18,19,Ace Ventura: When Nature Calls (1995),Comedy,comedy,"[18, 63, 84, 20, 45, 94, 107, 32, 35, 44]"
19,19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,action_comedy_crime_drama_thriller,"[28, 84, 62, 96, 94, 63, 103, 1, 41, 52]"
20,20,21,Get Shorty (1995),Comedy|Crime|Thriller,comedy_crime_thriller,"[18, 102, 100, 81, 82, 22, 32, 74, 13, 43]"
21,21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,crime_drama_horror_mystery_thriller,"[74, 80, 26, 66, 23, 21, 40, 65, 40, 104]"
22,22,23,Assassins (1995),Action|Crime|Thriller,action_crime_thriller,"[61, 44, 22, 63, 86, 15, 32, 59, 40, 78]"
23,23,24,Powder (1995),Drama|Sci-Fi,drama_sci-fi,"[92, 52, 49, 74, 32, 85, 78, 34, 86, 49]"
24,24,25,Leaving Las Vegas (1995),Drama|Romance,drama_romance,"[7, 28, 29, 82, 86, 58, 84, 27, 35, 3]"
25,25,26,Othello (1995),Drama,drama,"[61, 84, 82, 31, 52, 25, 94, 64, 43, 92]"
26,26,27,Now and Then (1995),Children|Drama,children_drama,"[14, 105, 35, 1, 86, 80, 73, 69, 19, 70]"
27,27,28,Persuasion (1995),Drama|Romance,drama_romance,"[85, 27, 52, 39, 35, 73, 59, 96, 70, 49]"
28,28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,adventure_drama_fantasy_mystery_sci-fi,"[1, 59, 79, 35, 100, 58, 97, 46, 103, 6]"
29,29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,crime_drama,"[42, 21, 20, 62, 22, 73, 17, 22, 83, 107]"
30,30,31,Dangerous Minds (1995),Drama,drama,"[24, 81, 72, 4, 105, 36, 61, 79, 10, 105]"
31,31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,mystery_sci-fi_thriller,"[20, 103, 47, 76, 70, 22, 89, 57, 28, 97]"
32,32,34,Babe (1995),Children|Drama,children_drama,"[80, 27, 78, 2, 11, 74, 35, 50, 26, 89]"
33,33,35,Carrington (1995),Drama|Romance,drama_romance,"[45, 25, 96, 94, 82, 61, 24, 79, 35, 32]"
34,34,36,Dead Man Walking (1995),Crime|Drama,crime_drama,"[20, 57, 25, 4, 34, 29, 35, 40, 34, 19]"
35,35,37,Across the Sea of Time (1995),Documentary|IMAX,documentary_imax,"[77, 99, 108, 18, 43, 6, 22, 41, 39, 108]"
36,36,38,It Takes Two (1995),Children|Comedy,children_comedy,"[54, 48, 94, 70, 82, 1, 45, 23, 76, 82]"
37,37,39,Clueless (1995),Comedy|Romance,comedy_romance,"[107, 20, 70, 64, 38, 15, 104, 46, 34, 32]"
38,38,40,"Cry, the Beloved Country (1995)",Drama,drama,"[53, 46, 28, 74, 82, 96, 105, 70, 85, 20]"
39,39,41,Richard III (1995),Drama|War,drama_war,"[34, 86, 42, 48, 29, 4, 100, 71, 36, 55]"
40,40,42,Dead Presidents (1995),Action|Crime|Drama,action_crime_drama,"[11, 100, 94, 101, 41, 72, 21, 61, 70, 22]"
41,41,43,Restoration (1995),Drama,drama,"[59, 83, 45, 49, 20, 62, 74, 48, 52, 50]"
42,42,44,Mortal Kombat (1995),Action|Adventure|Fantasy,action_adventure_fantasy,"[15, 78, 71, 13, 42, 66, 20, 9, 84, 103]"
43,43,45,To Die For (1995),Comedy|Drama|Thriller,comedy_drama_thriller,"[17, 34, 20, 28, 23, 43, 76, 34, 20, 73]"
44,44,46,How to Make an American Quilt (1995),Drama|Romance,drama_romance,"[28, 97, 17, 43, 79, 94, 59, 59, 36, 45]"
45,45,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,biblical_crime_dark_disturbing_greed_horror_serial killer_violent_psychology_twist ending_mystery_thriller,"[10, 89, 6, 59, 29, 95, 21, 14, 63, 83]"
46,46,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,animation_children_drama_musical_romance,"[20, 55, 35, 25, 14, 41, 100, 94, 35, 103]"
47,47,49,When Night Is Falling (1995),Drama|Romance,drama_romance,"[7, 96, 80, 92, 26, 40, 36, 13, 57, 47]"
48,48,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,thriller_crime_mystery_thriller,"[66, 36, 101, 20, 45, 16, 97, 94, 79, 69]"
49,49,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,comedy_drama_romance,"[107, 12, 30, 86, 65, 96, 59, 7, 103, 23]"
50,50,53,Lamerica (1994),Adventure|Drama,adventure_drama,"[34, 40, 58, 31, 73, 72, 14, 98, 97, 82]"
51,51,54,"Big Green, The (1995)",Children|Comedy,children_comedy,"[84, 64, 20, 69, 48, 102, 96, 60, 73, 92]"
52,52,55,Georgia (1995),Drama,drama,"[92, 100, 94, 45, 43, 27, 11, 8, 65, 83]"
53,53,57,Home for the Holidays (1995),Drama,drama,"[73, 55, 17, 94, 11, 97, 45, 10, 83, 31]"
54,54,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,comedy_drama_romance,"[30, 74, 3, 26, 25, 78, 11, 21, 70, 1]"
55,55,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,drama_mystery,"[48, 46, 31, 57, 72, 73, 49, 15, 79, 26]"
56,56,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,adventure_children_fantasy,"[53, 10, 8, 44, 38, 87, 86, 14, 5, 94]"
57,57,61,Eye for an Eye (1996),Drama|Thriller,drama_thriller,"[31, 97, 92, 29, 47, 103, 11, 64, 76, 42]"
58,58,62,Mr. Holland's Opus (1995),Drama,drama,"[83, 11, 31, 55, 49, 80, 46, 9, 19, 88]"
59,59,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,comedy_crime,"[107, 4, 39, 5, 84, 94, 65, 23, 12, 100]"
60,60,64,Two if by Sea (1996),Comedy|Romance,comedy_romance,"[4, 5, 94, 83, 72, 3, 19, 10, 44, 63]"
61,61,65,Bio-Dome (1996),Comedy,comedy,"[102, 69, 72, 7, 5, 101, 82, 89, 10, 35]"
62,62,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,action_sci-fi_thriller,"[32, 23, 103, 6, 29, 20, 70, 57, 5, 79]"
63,63,68,French Twist (Gazon maudit) (1995),Comedy|Romance,comedy_romance,"[84, 5, 46, 83, 21, 64, 63, 14, 57, 12]"
64,64,69,Friday (1995),Comedy,comedy,"[52, 93, 84, 54, 63, 94, 20, 29, 30, 49]"
65,65,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,action_comedy_horror_thriller,"[19, 18, 50, 61, 65, 87, 42, 81, 70, 36]"
66,66,71,Fair Game (1995),Action,action,"[89, 23, 9, 95, 15, 76, 66, 82, 43, 47]"
67,67,72,Kicking and Screaming (1995),Comedy|Drama,comedy_drama,"[29, 48, 79, 57, 70, 69, 82, 49, 69, 101]"
68,68,73,"Misérables, Les (1995)",Drama|War,drama_war,"[11, 40, 96, 42, 45, 97, 34, 79, 104, 2]"
69,69,74,Bed of Roses (1996),Drama|Romance,drama_romance,"[93, 40, 68, 57, 46, 72, 48, 26, 29, 20]"
70,70,76,Screamers (1995),Action|Sci-Fi|Thriller,action_sci-fi_thriller,"[92, 50, 89, 20, 10, 9, 70, 29, 20, 76]"
71,71,77,Nico Icon (1995),Documentary,documentary,"[37, 99, 108, 64, 100, 68, 39, 76, 31, 13]"
72,72,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,action_crime_drama_thriller,"[23, 85, 46, 105, 55, 59, 58, 20, 12, 65]"
73,73,79,"Juror, The (1996)",Drama|Thriller,drama_thriller,"[70, 22, 83, 86, 11, 32, 30, 54, 79, 38]"
74,74,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,children_drama,"[41, 27, 14, 1, 73, 43, 8, 23, 61, 102]"
75,75,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,crime_drama_romance,"[45, 83, 105, 94, 20, 93, 31, 71, 105, 62]"
76,76,82,Antonia's Line (Antonia) (1995),Comedy|Drama,comedy_drama,"[1, 69, 86, 93, 42, 80, 52, 81, 100, 27]"
77,77,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,drama_romance,"[72, 82, 84, 15, 3, 74, 20, 61, 47, 28]"
78,78,84,Last Summer in the Hamptons (1995),Comedy|Drama,comedy_drama,"[20, 25, 30, 11, 70, 1, 52, 95, 46, 20]"
79,79,85,Angels and Insects (1995),Drama|Romance,drama_romance,"[61, 57, 49, 28, 73, 27, 92, 107, 105, 84]"
80,80,86,White Squall (1996),Action|Adventure|Drama,action_adventure_drama,"[49, 62, 60, 28, 70, 41, 43, 86, 70, 107]"
81,81,87,Dunston Checks In (1996),Children|Comedy,children_comedy,"[18, 65, 34, 7, 48, 20, 60, 36, 44, 42]"
82,82,88,Black Sheep (1996),Comedy,comedy,"[68, 102, 64, 63, 54, 38, 1, 29, 97, 22]"
83,83,89,Nick of Time (1995),Action|Thriller,action_thriller,"[86, 95, 22, 66, 79, 103, 70, 64, 30, 27]"
84,84,92,Mary Reilly (1996),Drama|Horror|Thriller,drama_horror_thriller,"[78, 86, 53, 10, 74, 29, 66, 34, 92, 36]"
85,85,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,comedy_horror_romance,"[85, 83, 4, 63, 1, 94, 11, 8, 97, 32]"
86,86,94,Beautiful Girls (1996),Comedy|Drama|Romance,comedy_drama_romance,"[35, 52, 78, 96, 21, 72, 40, 73, 36, 8]"
87,87,95,Broken Arrow (1996),Action|Adventure|Thriller,action_adventure_thriller,"[98, 50, 42, 101, 78, 22, 6, 1, 66, 5]"
88,88,96,In the Bleak Midwinter (1995),Comedy|Drama,comedy_drama,"[27, 40, 83, 59, 107, 74, 55, 78, 60, 68]"
89,89,97,"Hate (Haine, La) (1995)",Crime|Drama,crime_drama,"[53, 4, 100, 81, 22, 57, 23, 108, 10, 28]"
90,90,98,Shopping (1994),Action|Thriller,action_thriller,"[89, 50, 44, 61, 70, 23, 86, 30, 78, 14]"
91,91,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,documentary,"[37, 77, 108, 55, 32, 13, 8, 57, 54, 96]"
92,92,100,City Hall (1996),Drama|Thriller,drama_thriller,"[28, 24, 27, 6, 23, 80, 47, 62, 69, 88]"
93,93,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,adventure_comedy_crime_romance,"[96, 19, 7, 2, 74, 65, 45, 61, 35, 82]"
94,94,102,Mr. Wrong (1996),Comedy,comedy,"[68, 3, 38, 70, 58, 88, 19, 80, 69, 59]"
95,95,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,mystery_sci-fi_thriller,"[70, 21, 32, 29, 45, 24, 61, 104, 95, 77]"
96,96,104,Happy Gilmore (1996),Comedy,adam sandler_comedy,"[45, 21, 5, 65, 4, 82, 12, 9, 34, 36]"
97,97,105,"Bridges of Madison County, The (1995)",Drama|Romance,drama_romance,"[73, 43, 96, 25, 57, 58, 4, 24, 34, 50]"
98,98,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,adventure_children_comedy_musical,"[10, 68, 2, 54, 88, 5, 96, 53, 59, 31]"
99,99,108,Catwalk (1996),Documentary,documentary,"[37, 77, 99, 29, 87, 7, 50, 25, 102, 84]"
